model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_max_neg_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
openai/whisper-tiny,audio,9.827221607438576,torch,True,False,CustomSoftmax,CustomGelu,,,,,,,,,,,,,,,
openai/whisper-tiny,audio,9.450746659767438,vlp,True,True,VLPSoftmax,VLPGelu,8.0,1.0,-4.0,8.0,max,8.0,1.0,1.0,8.0,,,,,,
openai/whisper-tiny,audio,9.450746659767438,vlp,True,True,VLPSoftmax,VLPGelu,9.0,1.0,-4.0,8.0,max,8.0,1.0,1.0,8.0,,,,,,
openai/whisper-tiny,audio,9.450746659767438,vlp,True,True,VLPSoftmax,VLPGelu,10.0,1.0,-4.0,8.0,max,8.0,1.0,1.0,8.0,,,,,,
openai/whisper-tiny,audio,9.450746659767438,vlp,True,True,VLPSoftmax,VLPGelu,11.0,1.0,-4.0,8.0,max,8.0,1.0,1.0,8.0,,,,,,
openai/whisper-tiny,audio,9.450746659767438,vlp,True,True,VLPSoftmax,VLPGelu,12.0,1.0,-4.0,8.0,max,8.0,1.0,1.0,8.0,,,,,,
openai/whisper-tiny,audio,9.46922318694734,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-4.0,8.0,max,,,,,,,,,,
openai/whisper-tiny,audio,9.46922318694734,vlp,True,False,VLPSoftmax,CustomGelu,9.0,1.0,-4.0,8.0,max,,,,,,,,,,
openai/whisper-tiny,audio,9.46922318694734,vlp,True,False,VLPSoftmax,CustomGelu,10.0,1.0,-4.0,8.0,max,,,,,,,,,,
openai/whisper-tiny,audio,9.46922318694734,vlp,True,False,VLPSoftmax,CustomGelu,11.0,1.0,-4.0,8.0,max,,,,,,,,,,
openai/whisper-tiny,audio,9.46922318694734,vlp,True,False,VLPSoftmax,CustomGelu,12.0,1.0,-4.0,8.0,max,,,,,,,,,,
openai/whisper-tiny,audio,9.65598687948217,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,1.0,1.0,8.0,,,,,,
openai/whisper-tiny,audio,11.807678025521156,pwl,True,True,PWLSoftmax,PWLGelu,,,,,,,,,,22.0,-20.0,22.0,6.0,,
openai/whisper-tiny,audio,11.601934773230344,pwl,True,False,PWLSoftmax,CustomGelu,,,,,,,,,,22.0,-20.0,,,,
openai/whisper-tiny,audio,9.943061786014486,pwl,False,True,CustomSoftmax,PWLGelu,,,,,,,,,,,,22.0,6.0,,
openai/whisper-tiny,audio,19.20322291302118,taylor,True,False,TaylorSoftmax,CustomGelu,,,,,,,,,,,,,,-10.0,6.0
