layer,site,order,anchor,anchor_side,exp_dim,group_size,ppl,ppl_repeats,n_evals,diverged,accepted,is_seed,delta_vs_incumbent,wall_s,apply_ms,assignment_hash
0,attention,0,2,max,10,256,4.731203917968714,4.731203917968714,0,False,True,True,0.0,0.0,0.0,a2cdd56dd1dfd360
0,attention,1,1,max,10,256,4.7076212728108295,4.7076212728108295,1,False,True,False,0.023582645157884663,26.101944843074307,4.631042014807463,89aba60c172c0b2f
0,attention,2,3,max,10,256,4.728190279694288,4.728190279694288,1,False,False,False,-0.020569006883458307,25.969881437020376,4.5685970690101385,201ec7dd5a16c733
0,attention,3,0,max,10,256,8.20029169642087,8.20029169642087,1,False,False,False,-3.49267042361004,26.0216484060511,4.539157962426543,8446b3b69a0364f8
0,attention,4,4,max,10,256,4.7393030228997866,4.7393030228997866,1,False,False,False,-0.03168175008895702,26.01936807204038,4.701451864093542,48d2599775dfcfcb
1,attention,0,2,max,10,256,4.7076212728108295,4.7076212728108295,0,False,True,True,0.0,0.0,0.0,89aba60c172c0b2f
1,attention,1,1,max,10,256,5.129635585845118,5.129635585845118,1,False,False,False,-0.42201431303428816,25.999020976945758,4.582965048030019,1fa92c829d3c80c0
1,attention,2,3,max,10,256,4.699149711374873,4.699149711374873,1,False,True,False,0.00847156143595651,26.182910120114684,4.6012799721211195,f657e3718d853622
1,attention,3,0,max,10,256,19.75574613708527,19.75574613708527,1,False,False,False,-15.0565964257104,26.157729252940044,4.5469088945537806,10775dd5a5ebe58a
1,attention,4,4,max,10,256,4.7030560848597,4.7030560848597,1,False,False,False,-0.003906373484826808,26.00043011107482,4.596601938828826,f2d4e130f51a35f8
1,attention,5,0,min,10,256,46.58293751622252,46.58293751622252,1,False,False,False,-41.88378780484765,26.215048604877666,23.39768107049167,dd61e125112df5f6
2,attention,0,2,max,10,256,4.699149711374873,4.699149711374873,0,False,True,True,0.0,0.0,0.0,f657e3718d853622
2,attention,1,1,max,10,256,4.574533848351099,4.574533848351099,1,False,True,False,0.1246158630237737,25.976619757013395,4.579070955514908,9e225c8a6c49f6a6
2,attention,2,3,max,10,256,5.431103022164529,5.431103022164529,1,False,False,False,-0.8565691738134298,26.025984031846747,4.482403863221407,fc96416cb293735d
2,attention,3,0,max,10,256,6.314549449431081,6.314549449431081,1,False,False,False,-1.7400156010799819,26.035208825953305,4.853927064687014,c13e2d47a7855636
2,attention,4,4,max,10,256,5.442553199300373,5.442553199300373,1,False,False,False,-0.8680193509492735,26.047664609970525,4.580474924296141,fc749f5de05fd6a3
3,attention,0,2,max,10,256,4.574533848351099,4.574533848351099,0,False,True,True,0.0,0.0,0.0,9e225c8a6c49f6a6
3,attention,1,1,max,10,256,5.035568927330842,5.035568927330842,1,False,False,False,-0.4610350789797426,26.0620192179922,4.529223078861833,880b69c3ab87343c
3,attention,2,3,max,10,256,4.5373336255593255,4.5373336255593255,1,False,True,False,0.03720022279177382,26.1483868251089,4.629882983863354,64b7b93b8985b3cd
3,attention,3,0,max,10,256,7.443125391573904,7.443125391573904,1,False,False,False,-2.9057917660145787,25.99458612105809,5.057944916188717,a190b1a7508d9e59
3,attention,4,4,max,10,256,4.536862532807892,4.536862532807892,1,False,False,False,0.00047109275143331075,26.13793931901455,4.509627120569348,9e580c5d17a0e6e4
3,attention,5,0,min,10,256,6.409576384803402,6.409576384803402,1,False,False,False,-1.8722427592440765,26.022825805004686,4.558490123599768,ec68d6692e073539
