n_locked,layer,ppl,improvement_vs_seed,step,changed,cumulative_evals,cumulative_wall_s,stop_reason
0,,4.731203917968714,0.0,0.0,False,0,0.0,
1,0.0,4.731203917968714,0.0,0.0,False,2,52.20927889295854,exhausted
2,1.0,4.718313445259485,0.012890472709229606,0.012890472709229606,True,4,104.40838608099148,exhausted
3,2.0,4.560262863556664,0.17094105441205,0.15805058170282038,True,6,156.60385257098824,exhausted
4,3.0,4.527872883714766,0.2033310342539485,0.03238997984189851,True,8,208.7804079381749,exhausted
5,4.0,4.527872883714766,0.2033310342539485,0.0,False,10,260.96236052317545,exhausted
6,5.0,4.527872883714766,0.2033310342539485,0.0,False,12,313.1861014100723,exhausted
7,6.0,4.527872883714766,0.2033310342539485,0.0,False,14,365.34897744609043,exhausted
8,7.0,4.485253593749603,0.24595032421911078,0.04261928996516229,True,16,417.51913919113576,exhausted
9,8.0,4.485253593749603,0.24595032421911078,0.0,False,18,469.67501952825114,exhausted
10,9.0,4.485253593749603,0.24595032421911078,0.0,False,20,521.8639486990869,exhausted
11,10.0,4.478497742644783,0.25270617532393125,0.006755851104820465,True,22,574.0299449840095,exhausted
12,11.0,4.478497742644783,0.25270617532393125,0.0,False,24,626.2397335860878,exhausted
13,12.0,4.478497742644783,0.25270617532393125,0.0,False,26,678.4146180651151,exhausted
14,13.0,4.478497742644783,0.25270617532393125,0.0,False,28,730.5740372061264,exhausted
15,14.0,4.478497742644783,0.25270617532393125,0.0,False,30,782.8443613061681,exhausted
16,15.0,4.478497742644783,0.25270617532393125,0.0,False,32,834.9966337080114,exhausted
17,16.0,4.478497742644783,0.25270617532393125,0.0,False,34,887.1750631930772,exhausted
18,17.0,4.476033903848766,0.25517001411994844,0.0024638387960171926,True,36,939.2963453759439,exhausted
19,18.0,4.476033903848766,0.25517001411994844,0.0,False,38,991.4951358507387,exhausted
20,19.0,4.476033903848766,0.25517001411994844,0.0,False,40,1043.6494022756815,exhausted
21,20.0,4.476033903848766,0.25517001411994844,0.0,False,42,1095.7921925596893,exhausted
22,21.0,4.476033903848766,0.25517001411994844,0.0,False,44,1147.9255875756498,exhausted
23,22.0,4.476033903848766,0.25517001411994844,0.0,False,46,1200.091823541792,exhausted
24,23.0,4.47485136932739,0.25635254864132406,0.0011825345213756222,True,48,1252.2381580106448,exhausted
25,24.0,4.47485136932739,0.25635254864132406,0.0,False,50,1304.414155000588,exhausted
26,25.0,4.47485136932739,0.25635254864132406,0.0,False,52,1356.6156092046294,exhausted
27,26.0,4.47485136932739,0.25635254864132406,0.0,False,54,1408.7557334015146,exhausted
28,27.0,4.47485136932739,0.25635254864132406,0.0,False,56,1460.9203493513633,exhausted
29,28.0,4.47485136932739,0.25635254864132406,0.0,False,58,1513.0672938474454,exhausted
30,29.0,4.473948873349555,0.2572550446191588,0.0009024959778347608,True,60,1565.2129243293311,exhausted
31,30.0,4.473948873349555,0.2572550446191588,0.0,False,62,1617.3178955272306,exhausted
32,31.0,4.473948873349555,0.2572550446191588,0.0,False,64,1669.5127810742706,exhausted
